"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 30 12:02:09 EEST 2022","Sat Jul 30 12:02:09 EEST 2022","1","","main","","","","test_parametrize_with_multiply_mark[five by five]",""
"passed","Sat Jul 30 12:02:09 EEST 2022","Sat Jul 30 12:02:09 EEST 2022","0","","main","","","","test_parametrize_with_mark_single[3]",""
"failed","Sat Jul 30 12:02:09 EEST 2022","Sat Jul 30 12:02:09 EEST 2022","0","","main","","","","test_parametrize_with_mark_single[1]",""
"broken","Sat Jul 30 12:01:58 EEST 2022","Sat Jul 30 12:01:58 EEST 2022","239","","main","","","","test_req[RUB]",""
"passed","Sat Jul 30 12:01:57 EEST 2022","Sat Jul 30 12:01:57 EEST 2022","240","","main","","","","test_req[EUR]",""
"passed","Sat Jul 30 12:01:57 EEST 2022","Sat Jul 30 12:01:58 EEST 2022","981","","main","","","","test_req[BTC]",""
"passed","Sat Jul 30 12:01:58 EEST 2022","Sat Jul 30 12:02:08 EEST 2022","10248","","main","","","","test_req1",""
"failed","Sat Jul 30 12:02:09 EEST 2022","Sat Jul 30 12:02:09 EEST 2022","0","","main","","","","test_foo[2-1]",""
"failed","Sat Jul 30 12:02:09 EEST 2022","Sat Jul 30 12:02:09 EEST 2022","0","","main","","","","test_foo[3-1]",""
"passed","Sat Jul 30 12:02:09 EEST 2022","Sat Jul 30 12:02:09 EEST 2022","0","","main","","","","test_parametrize_with_multiply_mark[Three plus five]",""
"failed","Sat Jul 30 12:02:09 EEST 2022","Sat Jul 30 12:02:09 EEST 2022","0","","main","","","","test_foo[2-0]",""
"passed","Sat Jul 30 12:02:09 EEST 2022","Sat Jul 30 12:02:09 EEST 2022","1","","main","","","","test_parametrize_with_multiply_mark[six plus nine]",""
"passed","Sat Jul 30 12:01:56 EEST 2022","Sat Jul 30 12:01:57 EEST 2022","240","","main","","","","test_req[USD]",""
"passed","Sat Jul 30 12:02:08 EEST 2022","Sat Jul 30 12:02:09 EEST 2022","244","","main","","","","test_req2",""
"failed","Sat Jul 30 12:02:09 EEST 2022","Sat Jul 30 12:02:09 EEST 2022","1","","main","","","","test_foo[3-0]",""
"failed","Sat Jul 30 12:02:09 EEST 2022","Sat Jul 30 12:02:09 EEST 2022","0","","main","","","","test_parametrize_with_mark_single[2]",""
