"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 30 12:14:59 EEST 2022","Sat Jul 30 12:14:59 EEST 2022","0","","main","","","","test_foo[3-0]",""
"passed","Sat Jul 30 12:14:58 EEST 2022","Sat Jul 30 12:14:58 EEST 2022","253","","main","","","","test_req2",""
"broken","Sat Jul 30 12:14:48 EEST 2022","Sat Jul 30 12:14:48 EEST 2022","246","","main","","","","test_check_ccy[RUB]",""
"failed","Sat Jul 30 12:14:59 EEST 2022","Sat Jul 30 12:14:59 EEST 2022","0","","main","","","","test_foo[2-1]",""
"passed","Sat Jul 30 12:14:48 EEST 2022","Sat Jul 30 12:14:58 EEST 2022","10228","","main","","","","test_req1",""
"passed","Sat Jul 30 12:14:58 EEST 2022","Sat Jul 30 12:14:58 EEST 2022","2","","main","","","","test_parametrize_with_multiply_mark[six plus nine]",""
"passed","Sat Jul 30 12:14:47 EEST 2022","Sat Jul 30 12:14:47 EEST 2022","280","","main","","","","test_check_ccy[USD]",""
"skipped","Sat Jul 30 12:14:59 EEST 2022","Sat Jul 30 12:14:59 EEST 2022","1","","main","","","","test_skip",""
"failed","Sat Jul 30 12:14:58 EEST 2022","Sat Jul 30 12:14:58 EEST 2022","0","","main","","","","test_parametrize_with_mark_single[2]",""
"failed","Sat Jul 30 12:14:58 EEST 2022","Sat Jul 30 12:14:58 EEST 2022","0","","main","","","","test_parametrize_with_mark_single[1]",""
"failed","Sat Jul 30 12:14:59 EEST 2022","Sat Jul 30 12:14:59 EEST 2022","0","","main","","","","test_foo[2-0]",""
"passed","Sat Jul 30 12:14:58 EEST 2022","Sat Jul 30 12:14:58 EEST 2022","0","","main","","","","test_parametrize_with_mark_single[3]",""
"passed","Sat Jul 30 12:14:47 EEST 2022","Sat Jul 30 12:14:47 EEST 2022","236","","main","","","","test_check_ccy[EUR]",""
"failed","Sat Jul 30 12:14:58 EEST 2022","Sat Jul 30 12:14:58 EEST 2022","0","","main","","","","test_parametrize_with_multiply_mark[five by five]",""
"passed","Sat Jul 30 12:14:47 EEST 2022","Sat Jul 30 12:14:48 EEST 2022","234","","main","","","","test_check_ccy[BTC]",""
"passed","Sat Jul 30 12:14:58 EEST 2022","Sat Jul 30 12:14:58 EEST 2022","0","","main","","","","test_parametrize_with_multiply_mark[Three plus five]",""
"failed","Sat Jul 30 12:14:59 EEST 2022","Sat Jul 30 12:14:59 EEST 2022","0","","main","","","","test_foo[3-1]",""
